date,group,target,lags,delta_sign,weekday_vector,lag_pct_IBOV,lag_pct_ITUB4,lag_pct_BBDC4,lag_pct_VALE3,lag_pct_PETR4,lag_pct_PETR3,lag_pct_ABEV3,lag_pct_BBAS3,lag_pct_B3SA3,lag_pct_ITSA4
2019-08-21,train,[0.5923024513988566],"[0.5656421760170627, 0.5689679780470137, 0.5735056107761373, 0.5634204864019131, 0.5795916938430923, 0.6205381066895749, 0.6019028434934117]","[-1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 0]","[0, 0, 1, 0, 0, 0, 0]","[-0.005845323741007102, -0.007912098232103926, 0.017899818373004583, -0.027901033801835395, -0.06598533177103671, 0.030960583419086474, -0.04448196994634812]","[-0.011111142094681448, -0.0043667457887850425, -0.018571472167968728, -0.0028489595005202206, -0.022011728307668843, 0.01960223328845645, -0.041394346602218524]","[-0.009759063989821737, -0.014427461270432151, 0.0021084475351151877, -0.006880056966449888, -0.019648090485603564, 0.01007111173258135, -0.02088165147411969]","[0.004352774801080761, -0.0009154749848315769, -0.0045568641084698935, -0.022058860403417868, -0.03483868670719925, 0.029672279829838777, -0.00725438159767966]","[-0.00041615599650790536, 0.005018855708875503, -0.013206756123392172, -0.027688624877413415, -0.033734036771964515, 0.005458140314978044, -0.0239726427570216]","[-0.009349289534027028, 0.013646725618057243, -0.00452833355597726, -0.02214023516693342, -0.030758180656755507, 0.003949684075269078, -0.026904277958934464]","[-0.008895869746956442, 0.01111116381269106, 0.00638971924905718, -0.01209887109243113, -0.019091792977669497, -0.0051334899291402, -0.029397118164383618]","[-0.000892280033315429, -0.019680684893740308, -0.0026172068893850486, -0.000871669558931587, -0.03491061775072124, 0.011702111426820094, -0.0339157548638761]","[0.005714248824905566, 0.022471910112359605, 0.026528294494991167, -0.00800920555395468, -0.04709986521292264, 0.03661841931333565, -0.027692270802927577]","[-0.01545968925736707, -0.017585952278473482, -0.022656246682163372, 0.003921583587048083, -0.013157900564247482, 0.025396800407627707, -0.035222053856601154]"
2019-08-22,train,[0.5762658918131411],"[0.5923024513988566, 0.5656421760170627, 0.5689679780470137, 0.5735056107761373, 0.5634204864019131, 0.5795916938430923, 0.6205381066895749]","[1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0.04713275726630006, -0.005845323741007102, -0.007912098232103926, 0.017899818373004583, -0.027901033801835395, -0.06598533177103671, 0.030960583419086474]","[0.007687821956730012, -0.011111142094681448, -0.0043667457887850425, -0.018571472167968728, -0.0028489595005202206, -0.022011728307668843, 0.01960223328845645]","[0.019710548468896638, -0.009759063989821737, -0.014427461270432151, 0.0021084475351151877, -0.006880056966449888, -0.019648090485603564, 0.01007111173258135]","[0.007071199183668719, 0.004352774801080761, -0.0009154749848315769, -0.0045568641084698935, -0.022058860403417868, -0.03483868670719925, 0.029672279829838777]","[0.05953373346891766, -0.00041615599650790536, 0.005018855708875503, -0.013206756123392172, -0.027688624877413415, -0.033734036771964515, 0.005458140314978044]","[0.05322762776877865, -0.009349289534027028, 0.013646725618057243, -0.00452833355597726, -0.02214023516693342, -0.030758180656755507, 0.003949684075269078]","[-0.007391831734393173, -0.008895869746956442, 0.01111116381269106, 0.00638971924905718, -0.01209887109243113, -0.019091792977669497, -0.0051334899291402]","[0.05715555941652761, -0.000892280033315429, -0.019680684893740308, -0.0026172068893850486, -0.000871669558931587, -0.03491061775072124, 0.011702111426820094]","[0.0013112188700141747, 0.005714248824905566, 0.022471910112359605, 0.026528294494991167, -0.00800920555395468, -0.04709986521292264, 0.03661841931333565]","[0.012396662297629923, -0.01545968925736707, -0.017585952278473482, -0.022656246682163372, 0.003921583587048083, -0.013157900564247482, 0.025396800407627707]"
2019-08-23,train,[0.544704434492472],"[0.5762658918131411, 0.5923024513988566, 0.5656421760170627, 0.5689679780470137, 0.5735056107761373, 0.5634204864019131, 0.5795916938430923]","[-1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 0]","[0, 0, 0, 0, 1, 0, 0]","[-0.027074950555820765, 0.04713275726630006, -0.005845323741007102, -0.007912098232103926, 0.017899818373004583, -0.027901033801835395, -0.06598533177103671]","[-0.0158450964352731, 0.007687821956730012, -0.011111142094681448, -0.0043667457887850425, -0.018571472167968728, -0.0028489595005202206, -0.022011728307668843]","[-0.012987079645871868, 0.019710548468896638, -0.009759063989821737, -0.014427461270432151, 0.0021084475351151877, -0.006880056966449888, -0.019648090485603564]","[-0.0058890629047445575, 0.007071199183668719, 0.004352774801080761, -0.0009154749848315769, -0.0045568641084698935, -0.022058860403417868, -0.03483868670719925]","[-0.009037384781531821, 0.05953373346891766, -0.00041615599650790536, 0.005018855708875503, -0.013206756123392172, -0.027688624877413415, -0.033734036771964515]","[-0.00967743589445591, 0.05322762776877865, -0.009349289534027028, 0.013646725618057243, -0.00452833355597726, -0.02214023516693342, -0.030758180656755507]","[-0.017553188143514586, -0.007391831734393173, -0.008895869746956442, 0.01111116381269106, 0.00638971924905718, -0.01209887109243113, -0.019091792977669497]","[-0.014783462952480675, 0.05715555941652761, -0.000892280033315429, -0.019680684893740308, -0.0026172068893850486, -0.000871669558931587, -0.03491061775072124]","[-0.007638552519690034, 0.0013112188700141747, 0.005714248824905566, 0.022471910112359605, 0.026528294494991167, -0.00800920555395468, -0.04709986521292264]","[-0.01632651504205196, 0.012396662297629923, -0.01545968925736707, -0.017585952278473482, -0.022656246682163372, 0.003921583587048083, -0.013157900564247482]"
2019-08-26,train,[0.5280484947716239],"[0.544704434492472, 0.5762658918131411, 0.5923024513988566, 0.5656421760170627, 0.5689679780470137, 0.5735056107761373, 0.5634204864019131]","[-1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 0]","[1, 0, 0, 0, 0, 0, 0]","[-0.05476891443525389, -0.027074950555820765, 0.04713275726630006, -0.005845323741007102, -0.007912098232103926, 0.017899818373004583, -0.027901033801835395]","[-0.01162788846162155, -0.0158450964352731, 0.007687821956730012, -0.011111142094681448, -0.0043667457887850425, -0.018571472167968728, -0.0028489595005202206]","[-0.02172575851532721, -0.012987079645871868, 0.019710548468896638, -0.009759063989821737, -0.014427461270432151, 0.0021084475351151877, -0.006880056966449888]","[-0.013898396419103953, -0.0058890629047445575, 0.007071199183668719, 0.004352774801080761, -0.0009154749848315769, -0.0045568641084698935, -0.022058860403417868]","[-0.037271952906487105, -0.009037384781531821, 0.05953373346891766, -0.00041615599650790536, 0.005018855708875503, -0.013206756123392172, -0.027688624877413415]","[-0.03148747587079648, -0.00967743589445591, 0.05322762776877865, -0.009349289534027028, 0.013646725618057243, -0.00452833355597726, -0.02214023516693342]","[-0.00757982646741151, -0.017553188143514586, -0.007391831734393173, -0.008895869746956442, 0.01111116381269106, 0.00638971924905718, -0.01209887109243113]","[-0.036441601443386595, -0.014783462952480675, 0.05715555941652761, -0.000892280033315429, -0.019680684893740308, -0.0026172068893850486, -0.000871669558931587]","[-0.03606772257797353, -0.007638552519690034, 0.0013112188700141747, 0.005714248824905566, 0.022471910112359605, 0.026528294494991167, -0.00800920555395468]","[-0.014107889925566663, -0.01632651504205196, 0.012396662297629923, -0.01545968925736707, -0.017585952278473482, -0.022656246682163372, 0.003921583587048083]"
2019-08-27,train,[0.539439703343845],"[0.5280484947716239, 0.544704434492472, 0.5762658918131411, 0.5923024513988566, 0.5656421760170627, 0.5689679780470137, 0.5735056107761373]","[-1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 0]","[0, 1, 0, 0, 0, 0, 0]","[-0.030577940376724233, -0.05476891443525389, -0.027074950555820765, 0.04713275726630006, -0.005845323741007102, -0.007912098232103926, 0.017899818373004583]","[-0.0003017235526417972, -0.01162788846162155, -0.0158450964352731, 0.007687821956730012, -0.011111142094681448, -0.0043667457887850425, -0.018571472167968728]","[-0.010322216269157414, -0.02172575851532721, -0.012987079645871868, 0.019710548468896638, -0.009759063989821737, -0.014427461270432151, 0.0021084475351151877]","[-0.01109056274895126, -0.013898396419103953, -0.0058890629047445575, 0.007071199183668719, 0.004352774801080761, -0.0009154749848315769, -0.0045568641084698935]","[-0.013179637278546652, -0.037271952906487105, -0.009037384781531821, 0.05953373346891766, -0.00041615599650790536, 0.005018855708875503, -0.013206756123392172]","[-0.01307923686383139, -0.03148747587079648, -0.00967743589445591, 0.05322762776877865, -0.009349289534027028, 0.013646725618057243, -0.00452833355597726]","[-0.013093277256797653, -0.00757982646741151, -0.017553188143514586, -0.007391831734393173, -0.008895869746956442, 0.01111116381269106, 0.00638971924905718]","[-0.004671837172599003, -0.036441601443386595, -0.014783462952480675, 0.05715555941652761, -0.000892280033315429, -0.019680684893740308, -0.0026172068893850486]","[-0.03490765526069617, -0.03606772257797353, -0.007638552519690034, 0.0013112188700141747, 0.005714248824905566, 0.022471910112359605, 0.026528294494991167]","[-0.004208770223333991, -0.014107889925566663, -0.01632651504205196, 0.012396662297629923, -0.01545968925736707, -0.017585952278473482, -0.022656246682163372]"
2019-08-28,train,[0.5518003764754039],"[0.539439703343845, 0.5280484947716239, 0.544704434492472, 0.5762658918131411, 0.5923024513988566, 0.5656421760170627, 0.5689679780470137]","[1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0.021572277328709477, -0.030577940376724233, -0.05476891443525389, -0.027074950555820765, 0.04713275726630006, -0.005845323741007102, -0.007912098232103926]","[0.011768237683500216, -0.0003017235526417972, -0.01162788846162155, -0.0158450964352731, 0.007687821956730012, -0.011111142094681448, -0.0043667457887850425]","[0.012642213295125826, -0.010322216269157414, -0.02172575851532721, -0.012987079645871868, 0.019710548468896638, -0.009759063989821737, -0.014427461270432151]","[0.012149543622267167, -0.01109056274895126, -0.013898396419103953, -0.0058890629047445575, 0.007071199183668719, 0.004352774801080761, -0.0009154749848315769]","[0.015859811462242357, -0.013179637278546652, -0.037271952906487105, -0.009037384781531821, 0.05953373346891766, -0.00041615599650790536, 0.005018855708875503]","[0.018932222752322092, -0.01307923686383139, -0.03148747587079648, -0.00967743589445591, 0.05322762776877865, -0.009349289534027028, 0.013646725618057243]","[0.00442232852577451, -0.013093277256797653, -0.00757982646741151, -0.017553188143514586, -0.007391831734393173, -0.008895869746956442, 0.01111116381269106]","[-0.00804650417625774, -0.004671837172599003, -0.036441601443386595, -0.014783462952480675, 0.05715555941652761, -0.000892280033315429, -0.019680684893740308]","[0.016548481691842643, -0.03490765526069617, -0.03606772257797353, -0.007638552519690034, 0.0013112188700141747, 0.005714248824905566, 0.022471910112359605]","[0.016060907462634555, -0.004208770223333991, -0.014107889925566663, -0.01632651504205196, 0.012396662297629923, -0.01545968925736707, -0.017585952278473482]"
2019-08-29,train,[0.5831733267984242],"[0.5518003764754039, 0.539439703343845, 0.5280484947716239, 0.544704434492472, 0.5762658918131411, 0.5923024513988566, 0.5656421760170627]","[1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0.022913910590819375, 0.021572277328709477, -0.030577940376724233, -0.05476891443525389, -0.027074950555820765, 0.04713275726630006, -0.005845323741007102]","[0.011333166774520231, 0.011768237683500216, -0.0003017235526417972, -0.01162788846162155, -0.0158450964352731, 0.007687821956730012, -0.011111142094681448]","[-0.005930098325075739, 0.012642213295125826, -0.010322216269157414, -0.02172575851532721, -0.012987079645871868, 0.019710548468896638, -0.009759063989821737]","[0.0036934406403337228, 0.012149543622267167, -0.01109056274895126, -0.013898396419103953, -0.0058890629047445575, 0.007071199183668719, 0.004352774801080761]","[0.01027115852229854, 0.015859811462242357, -0.013179637278546652, -0.037271952906487105, -0.009037384781531821, 0.05953373346891766, -0.00041615599650790536]","[0.007060592164064516, 0.018932222752322092, -0.01307923686383139, -0.03148747587079648, -0.00967743589445591, 0.05322762776877865, -0.009349289534027028]","[-0.0011007406538080522, 0.00442232852577451, -0.013093277256797653, -0.00757982646741151, -0.017553188143514586, -0.007391831734393173, -0.008895869746956442]","[-0.008337150465907883, -0.00804650417625774, -0.004671837172599003, -0.036441601443386595, -0.014783462952480675, 0.05715555941652761, -0.000892280033315429]","[0.014651187630586815, 0.016548481691842643, -0.03490765526069617, -0.03606772257797353, -0.007638552519690034, 0.0013112188700141747, 0.005714248824905566]","[0.01497498707541256, 0.016060907462634555, -0.004208770223333991, -0.014107889925566663, -0.01632651504205196, 0.012396662297629923, -0.01545968925736707]"
2019-08-30,train,[0.5914003107672505],"[0.5831733267984242, 0.5518003764754039, 0.539439703343845, 0.5280484947716239, 0.544704434492472, 0.5762658918131411, 0.5923024513988566]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0.0568556160171787, 0.022913910590819375, 0.021572277328709477, -0.030577940376724233, -0.05476891443525389, -0.027074950555820765, 0.04713275726630006]","[0.005308177705271255, 0.011333166774520231, 0.011768237683500216, -0.0003017235526417972, -0.01162788846162155, -0.0158450964352731, 0.007687821956730012]","[0.01883835336338935, -0.005930098325075739, 0.012642213295125826, -0.010322216269157414, -0.02172575851532721, -0.012987079645871868, 0.019710548468896638]","[0.03725848548620858, 0.0036934406403337228, 0.012149543622267167, -0.01109056274895126, -0.013898396419103953, -0.0058890629047445575, 0.007071199183668719]","[0.03700690694450204, 0.01027115852229854, 0.015859811462242357, -0.013179637278546652, -0.037271952906487105, -0.009037384781531821, 0.05953373346891766]","[0.0376383927456001, 0.007060592164064516, 0.018932222752322092, -0.01307923686383139, -0.03148747587079648, -0.00967743589445591, 0.05322762776877865]","[0.02203854693869478, -0.0011007406538080522, 0.00442232852577451, -0.013093277256797653, -0.00757982646741151, -0.017553188143514586, -0.007391831734393173]","[0.024312736885471642, -0.008337150465907883, -0.00804650417625774, -0.004671837172599003, -0.036441601443386595, -0.014783462952480675, 0.05715555941652761]","[0.015127202183234267, 0.014651187630586815, 0.016548481691842643, -0.03490765526069617, -0.03606772257797353, -0.007638552519690034, 0.0013112188700141747]","[0.00491806725858579, 0.01497498707541256, 0.016060907462634555, -0.004208770223333991, -0.014107889925566663, -0.01632651504205196, 0.012396662297629923]"
2019-09-02,train,[0.584546734924153],"[0.5914003107672505, 0.5831733267984242, 0.5518003764754039, 0.539439703343845, 0.5280484947716239, 0.544704434492472, 0.5762658918131411]","[1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.014107270670268512, 0.0568556160171787, 0.022913910590819375, 0.021572277328709477, -0.030577940376724233, -0.05476891443525389, -0.027074950555820765]","[-0.004400162077075276, 0.005308177705271255, 0.011333166774520231, 0.011768237683500216, -0.0003017235526417972, -0.01162788846162155, -0.0158450964352731]","[0.015408273470603806, 0.01883835336338935, -0.005930098325075739, 0.012642213295125826, -0.010322216269157414, -0.02172575851532721, -0.012987079645871868]","[0.010421313450216907, 0.03725848548620858, 0.0036934406403337228, 0.012149543622267167, -0.01109056274895126, -0.013898396419103953, -0.0058890629047445575]","[0.0, 0.03700690694450204, 0.01027115852229854, 0.015859811462242357, -0.013179637278546652, -0.037271952906487105, -0.009037384781531821]","[0.005334267925091618, 0.0376383927456001, 0.007060592164064516, 0.018932222752322092, -0.01307923686383139, -0.03148747587079648, -0.00967743589445591]","[0.00916442497497827, 0.02203854693869478, -0.0011007406538080522, 0.00442232852577451, -0.013093277256797653, -0.00757982646741151, -0.017553188143514586]","[0.02573202751320669, 0.024312736885471642, -0.008337150465907883, -0.00804650417625774, -0.004671837172599003, -0.036441601443386595, -0.014783462952480675]","[0.011514976540775157, 0.015127202183234267, 0.014651187630586815, 0.016548481691842643, -0.03490765526069617, -0.03606772257797353, -0.007638552519690034]","[0.002446960229292472, 0.00491806725858579, 0.01497498707541256, 0.016060907462634555, -0.004208770223333991, -0.014107889925566663, -0.01632651504205196]"
2019-09-03,train,[0.5718225125828422],"[0.584546734924153, 0.5914003107672505, 0.5831733267984242, 0.5518003764754039, 0.539439703343845, 0.5280484947716239, 0.544704434492472]","[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 0]","[0, 1, 0, 0, 0, 0, 0]","[-0.011588725467874816, 0.014107270670268512, 0.0568556160171787, 0.022913910590819375, 0.021572277328709477, -0.030577940376724233, -0.05476891443525389]","[-0.01296401427555538, -0.004400162077075276, 0.005308177705271255, 0.011333166774520231, 0.011768237683500216, -0.0003017235526417972, -0.01162788846162155]","[-0.010318623443215658, 0.015408273470603806, 0.01883835336338935, -0.005930098325075739, 0.012642213295125826, -0.010322216269157414, -0.02172575851532721]","[0.009655445022066944, 0.010421313450216907, 0.03725848548620858, 0.0036934406403337228, 0.012149543622267167, -0.01109056274895126, -0.013898396419103953]","[-0.007843167174096166, 0.0, 0.03700690694450204, 0.01027115852229854, 0.015859811462242357, -0.013179637278546652, -0.037271952906487105]","[-0.010611996446812655, 0.005334267925091618, 0.0376383927456001, 0.007060592164064516, 0.018932222752322092, -0.01307923686383139, -0.03148747587079648]","[-0.01816240197964858, 0.00916442497497827, 0.02203854693869478, -0.0011007406538080522, 0.00442232852577451, -0.013093277256797653, -0.00757982646741151]","[-0.012759518407687298, 0.02573202751320669, 0.024312736885471642, -0.008337150465907883, -0.00804650417625774, -0.004671837172599003, -0.036441601443386595]","[-0.019196442522260826, 0.011514976540775157, 0.015127202183234267, 0.014651187630586815, 0.016548481691842643, -0.03490765526069617, -0.03606772257797353]","[-0.01220501375068006, 0.002446960229292472, 0.00491806725858579, 0.01497498707541256, 0.016060907462634555, -0.004208770223333991, -0.014107889925566663]"
